"Name","Method","Path","Status","Expected","Result"
"Auth providers","GET","/api/auth/providers","200","200","PASS"
"Auth session","GET","/api/auth/session","200","200","PASS"
"Signup invalid body","POST","/api/auth/signup","400","400","PASS"
"Bookmarks public read","GET","/api/bookmarks","200","200","PASS"
"Bookmarks toggle unauth","POST","/api/bookmarks","401","401","PASS"
"Comments missing postId","GET","/api/comments","400","400","PASS"
"Comments by post","GET","/api/comments?postId=1","200","200","PASS"
"Comments pending unauth","GET","/api/comments?pending=true&postId=1","403","403","PASS"
"Comment action unauth","PATCH","/api/comments/c1","401","401","PASS"
"Create order unauth","POST","/api/payment/create-order","401","401","PASS"
"Verify payment unauth","POST","/api/payment/verify","401","401","PASS"
"Webhook invalid signature","POST","/api/payment/webhook","400","400","PASS"
"Posts public list","GET","/api/posts","200","200","PASS"
"Posts mine unauth","GET","/api/posts?mine=true","200","200","PASS"
"Posts all unauth","GET","/api/posts?all=true","403","403","PASS"
"Create post unauth","POST","/api/posts","401","401","PASS"
"Update post unauth","PATCH","/api/posts/1","401","401","PASS"
"Delete post unauth","DELETE","/api/posts/1","403","403","PASS"
"Post like status","GET","/api/posts/1/like","200","200","PASS"
"Post like toggle unauth","POST","/api/posts/1/like","401","401","PASS"
"Seed GET dev","GET","/api/seed","200","200","PASS"
"Seed POST unauth","POST","/api/seed","403","403","PASS"
"Subscription GET unauth","GET","/api/subscription","401","401","PASS"
"Subscription stats unauth","POST","/api/subscription","401","401","PASS"
"Subscription cancel unauth","DELETE","/api/subscription","401","401","PASS"
"Upload unauth","POST","/api/upload","401","401","PASS"
